Name;Text;Blizzard ID;Picture link;Active
Assemble a Lineup;Quest: Summon 17 minions.;BG24_Quest_114;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_114.png;
Burn the Evidence;Quest: Sell 9 minions.;BG27_Quest_800;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Quest_800.png;
Crack the Case;Quest: Have friendly minions attack 12 times.;BG24_Quest_352;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_352.png;
Cry for Help;Quest: Play 4 Battlecry minions.;BG24_Quest_311;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_311.png;
Dust for Prints;Quest: Add 20 cards to your hand.;BG24_Quest_314;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_314.png;
Exhume the Bones;Quest: Trigger 7 friendly Deathrattles.;BG24_Quest_320;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_320.png;
Fill the Cauldron;Quest: Cast 9 spells.;BG28_Quest_500;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG28_Quest_500.png;
Find the Murder Weapon;Quest: Increase a friendly minion's stats 14 times.;BG24_Quest_123;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_123.png;
Follow the Money;Quest: Spend 33 Gold.;BG24_Quest_126;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_126.png;
Hire an Investigator;Quest: End your turn with unspent Gold 3 times.;BG24_Quest_351;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_351.png;
Invite the Guests;Quest: Buy 6 minions.;BG24_Quest_313;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_313.png;
Pressure the Authorities;Quest: Get your warband to 35 total Attack.;BG27_Quest_801;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Quest_801.png;
Reenact the Murder;Quest: Have 19 friendly minions die.;BG24_Quest_124;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_124.png;
Round up the Suspects;Quest: Destroy 18 enemy minions.;BG27_Quest_802;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG27_Quest_802.png;
Sort It All Out;Quest: Order your minions from lowest to highest Attack for 4 combats.;BG24_Quest_125;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_125.png;
Track the Footprints;Quest: Have Bob's Tavern Refreshed 9 times.;BG24_Quest_112;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_112.png;
Unlikely Duo;Quest: Play 5 minions from [either of two randomly selected types].;BG24_Quest_151;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_151.png;
Unmask the Culprit;Quest: Lose or tie 3 combats.;BG24_Quest_120;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_120.png;
Witness Protection;Quest: Have a friendly Taunt minion attacked 6 times.;BG24_Quest_318;https://art.hearthstonejson.com/v1/bgs/latest/enUS/512x/BG24_Quest_318.png;
